fecha,tenor_label,tenor_years,tea_nominal,tea_real,tamar_fwd,bei_spot,bei_fwd_lag,bei_tamar,dev_implicita,tc_real_drift
2026-05-16,3M,0.25,0.302988,-0.052518,0.315838,0.375211,0.357331,0.388773,,
2026-05-16,6M,0.5,0.259732,-0.009246,0.284422,0.271487,0.254955,0.296408,,
2026-05-16,9M,0.75,0.226848,0.007064,0.21886,0.218243,0.202403,0.210311,,
2026-05-16,1Y,1.0,0.202982,0.014304,,0.186018,0.170597,,,
2026-05-16,18M,1.5,0.177656,0.026201,,0.147588,0.132667,,,
2026-05-16,2Y,2.0,0.17576,0.042696,,0.127615,0.112954,,,
2026-05-16,3Y,3.0,0.218797,0.079069,,0.12949,0.114804,,,
2026-05-17,3M,0.25,0.246483,-0.053131,0.304801,0.316426,0.298234,0.378017,,
2026-05-17,6M,0.5,0.255131,-0.008404,0.288892,0.265769,0.248277,0.299816,,
2026-05-17,9M,0.75,0.264438,0.00757,0.294745,0.254938,0.237596,0.285017,,
2026-05-17,1Y,1.0,0.270723,0.014293,0.315184,0.252816,0.235503,0.296651,,
2026-05-17,18M,1.5,0.277652,0.025872,0.380682,0.24543,0.22822,0.345862,,
2026-05-17,2Y,2.0,0.281193,0.042692,0.459656,0.228736,0.211756,0.399892,,
2026-05-17,3Y,3.0,0.28474,0.079716,0.615039,0.189887,0.173444,0.495799,,
2026-05-18,3M,0.25,0.239715,-0.050679,0.309521,0.305897,0.288219,0.37943,,
2026-05-18,6M,0.5,0.25007,-0.010148,0.290774,0.262886,0.245791,0.304006,,
2026-05-18,9M,0.75,0.25745,0.006616,0.295454,0.249185,0.232275,0.286939,,
2026-05-18,1Y,1.0,0.2626,0.014835,0.315505,0.244143,0.227302,0.296275,,
2026-05-18,18M,1.5,0.269966,0.027731,0.380755,0.235699,0.218972,0.343498,,
2026-05-18,2Y,2.0,0.275748,0.044028,0.458955,0.221948,0.205407,0.397428,,
2026-05-18,3Y,3.0,0.285618,0.079274,0.61059,0.191188,0.175063,0.492289,,
2026-05-19,3M,0.25,0.241332,-0.059281,0.233472,0.319557,0.302067,0.311201,,
2026-05-19,6M,0.5,0.250088,0.000921,0.263108,0.248938,0.232385,0.261946,,
2026-05-19,9M,0.75,0.258255,0.039375,0.29404,0.210588,0.194543,0.245018,,
2026-05-19,1Y,1.0,0.26535,0.062916,0.326086,0.190452,0.174674,0.247593,,
2026-05-19,18M,1.5,0.276499,0.08373,0.392867,0.177875,0.162264,0.285252,,
2026-05-19,2Y,2.0,0.284255,0.088464,0.462273,0.179879,0.164241,0.343428,,
2026-05-19,3Y,3.0,0.292483,0.092337,0.605201,0.183227,0.167545,0.469511,,
2026-05-20,3M,0.25,0.251885,-0.054548,0.219717,0.324112,0.306937,0.290089,0.248995,-0.056731
2026-05-20,6M,0.5,0.259944,0.001274,0.24747,0.258341,0.242019,0.245883,0.270073,0.009324
2026-05-20,9M,0.75,0.262718,0.03465,0.277559,0.220429,0.204599,0.234773,0.282455,0.050823
2026-05-20,1Y,1.0,0.262867,0.054496,0.309655,0.197602,0.182068,0.241972,0.283143,0.071427
2026-05-20,18M,1.5,0.261259,0.074077,0.378703,0.174272,0.159041,0.283616,,
2026-05-20,2Y,2.0,0.261707,0.084058,0.452553,0.163874,0.148778,0.339921,,
2026-05-20,3Y,3.0,0.273605,0.103734,0.60822,0.153905,0.138938,0.457072,,
2026-05-21,3M,0.25,0.249721,-0.056447,0.243551,0.324484,0.307678,0.317945,,
2026-05-21,6M,0.5,0.254074,-0.018208,0.287887,0.277332,0.261125,0.311771,,
2026-05-21,9M,0.75,0.257972,0.003936,0.306108,0.25304,0.237141,0.300986,,
2026-05-21,1Y,1.0,0.261755,0.019578,0.306035,0.237527,0.221825,0.280957,,
2026-05-21,18M,1.5,0.269166,0.042684,0.272324,0.217211,0.201766,0.22024,,
2026-05-21,2Y,2.0,0.276449,0.060619,0.21612,0.203494,0.188224,0.146613,,
2026-05-21,3Y,3.0,0.290728,0.088584,0.089064,0.185695,0.17065,0.000442,,
